
Date time,Integration time [s],Target RA [deg],Target DEC [deg],Telescope Azimuth [deg],Telescope Elevation [deg],DIMM Seeing ["],Relative Flux RMS,Relative Flux RMS base time [s],Number of frames,Airmass,Cn2 [10**(-15)m**(1/3)],Cn2 Residual [10**(-15)m**(1/3)],Left Mean Flux [ADU],Left Mean Flux RMS,Left Scintillation Index,Left Strehl Number,Long. Cn2 [10**(-15)m**(1/3)],Long. Cn2 Residual [10**(-15)m**(1/3)],Longitudinal Correlation,Longitudinal Separation [pixel],Longitudinal Variance [pixel**2],Long. Variance Averaged [pixel**2],Longitudinal Variance RMS,Right Mean Flux [ADU],Right Mean Flux RMS,Right Scintillation Index,Right Strehl Number,Scintillation Index,Transverse Cn2 [10**(-15)m**(1/3)],Trans. Cn2 Residual [10**(-15)m**(1/3)],Transverse Correlation,Transverse Separation [pixel],Transverse Variance [pixel**2],Trans. Variance Average [pixel**2],Transverse Variance RMS [pixel]
2025-03-07T00:01:03,60,114.825000,5.225000,144.6,54.5,0.742,,,11471,1.229,412.7,36.9,34263,0.0037,0.0471,0.361,393.6,38.1,0.861,93.160,0.329,0.035,0.011,29238,0.0036,0.0488,0.386,0.0480,442.4,35.2,0.788,-1.578,0.243,0.021,0.009
2025-03-07T00:02:22,60,114.825000,5.225000,145.1,54.7,0.857,,,11471,1.227,524.5,41.5,33865,0.0037,0.0522,0.352,508.6,47.0,0.858,93.218,0.426,0.043,0.016,29460,0.0034,0.0531,0.398,0.0527,549.0,32.9,0.788,-1.426,0.308,0.020,0.010
2025-03-07T00:03:41,60,114.825000,5.225000,145.6,54.8,0.849,,,11470,1.224,516.7,38.5,33851,0.0038,0.0534,0.346,501.1,32.8,0.857,93.098,0.431,0.030,0.018,29394,0.0027,0.0546,0.392,0.0540,540.9,47.3,0.771,-1.325,0.293,0.028,0.012
2025-03-07T00:05:01,60,114.825000,5.225000,146.1,55.0,0.749,,,11471,1.221,419.4,34.7,34108,0.0035,0.0446,0.341,416.6,37.1,0.881,93.032,0.349,0.034,0.016,29375,0.0033,0.0434,0.395,0.0440,423.8,31.0,0.803,-1.423,0.233,0.018,0.007
2025-03-07T00:06:20,60,114.825000,5.225000,146.6,55.2,0.792,,,11470,1.219,460.0,31.0,33769,0.0034,0.0435,0.353,437.5,28.7,0.863,93.145,0.375,0.026,0.012,29160,0.0033,0.0439,0.380,0.0437,494.8,34.4,0.789,-1.379,0.273,0.020,0.009
2025-03-07T00:07:40,60,114.825000,5.225000,147.1,55.3,0.730,0.003107,536,11472,1.216,401.3,29.7,33700,0.0041,0.0416,0.341,388.4,29.1,0.867,93.113,0.329,0.027,0.010,29382,0.0029,0.0410,0.390,0.0413,421.4,30.8,0.795,-1.431,0.231,0.018,0.005
2025-03-07T00:09:01,60,114.825000,5.225000,147.6,55.5,0.781,0.003561,538,11470,1.214,449.3,32.8,34062,0.0029,0.0462,0.362,431.9,33.8,0.855,93.333,0.364,0.031,0.015,29550,0.0031,0.0477,0.390,0.0470,476.1,31.1,0.780,-1.198,0.262,0.018,0.010
2025-03-07T00:10:21,60,114.825000,5.225000,148.1,55.7,0.794,0.004100,539,11470,1.212,462.1,30.5,34099,0.0035,0.0554,0.359,431.5,27.6,0.847,93.397,0.368,0.025,0.013,29613,0.0035,0.0547,0.398,0.0551,509.4,35.0,0.767,-1.356,0.279,0.021,0.009
2025-03-07T00:11:40,60,114.825000,5.225000,148.6,55.8,0.836,0.004570,539,11471,1.209,503.7,33.1,34228,0.0033,0.0509,0.368,481.5,32.2,0.855,93.361,0.409,0.029,0.015,29484,0.0027,0.0508,0.397,0.0509,538.1,34.5,0.785,-1.490,0.296,0.020,0.010
2025-03-07T00:12:59,60,114.825000,5.225000,149.1,56.0,0.800,0.005508,538,11471,1.207,468.3,39.5,34437,0.0033,0.0432,0.362,450.2,39.0,0.861,93.422,0.374,0.035,0.014,29580,0.0028,0.0429,0.405,0.0431,496.2,40.4,0.783,-1.327,0.267,0.024,0.011
2025-03-07T00:14:18,60,114.825000,5.225000,149.6,56.1,0.794,0.006101,538,11470,1.205,462.2,33.5,34394,0.0035,0.0474,0.354,455.8,37.4,0.842,93.503,0.379,0.034,0.012,29596,0.0032,0.0480,0.408,0.0477,472.0,27.6,0.752,-1.355,0.260,0.016,0.009
2025-03-07T00:15:38,60,114.825000,5.225000,150.2,56.3,1.010,0.004520,538,11471,1.203,689.6,39.4,34079,0.0045,0.0556,0.354,672.1,40.1,0.843,93.516,0.572,0.036,0.030,29531,0.0035,0.0574,0.406,0.0565,716.8,38.3,0.752,-1.396,0.396,0.022,0.017
2025-03-07T00:16:58,60,114.825000,5.225000,150.7,56.4,0.904,0.002635,537,11471,1.201,573.8,35.3,34497,0.0031,0.0555,0.359,556.6,29.3,0.841,93.405,0.476,0.026,0.019,29473,0.0036,0.0548,0.412,0.0552,600.5,44.5,0.759,-1.383,0.324,0.026,0.010
2025-03-07T00:18:17,60,114.825000,5.225000,151.2,56.6,0.854,0.002588,536,11471,1.199,521.7,47.4,34081,0.0035,0.0548,0.354,500.9,53.1,0.825,93.332,0.404,0.048,0.012,29556,0.0033,0.0539,0.403,0.0544,554.1,38.6,0.718,-1.167,0.300,0.022,0.009
2025-03-07T00:19:36,60,114.825000,5.225000,151.8,56.7,0.905,0.002668,536,11472,1.197,574.6,37.1,34406,0.0033,0.0531,0.356,564.1,36.8,0.830,93.508,0.475,0.033,0.019,29586,0.0037,0.0515,0.408,0.0523,590.7,37.5,0.715,-1.289,0.322,0.022,0.008
2025-03-07T00:20:57,60,114.825000,5.225000,152.3,56.9,1.024,0.002552,538,11470,1.195,705.6,34.9,34347,0.0043,0.0699,0.339,681.0,35.4,0.819,93.401,0.580,0.032,0.018,29465,0.0043,0.0701,0.394,0.0700,743.7,34.2,0.713,-1.224,0.412,0.020,0.011
2025-03-07T00:22:18,60,114.825000,5.225000,152.9,57.0,0.907,0.003805,540,11469,1.193,576.4,41.2,34603,0.0034,0.0629,0.354,559.2,32.8,0.836,93.202,0.472,0.029,0.020,29786,0.0035,0.0595,0.407,0.0612,603.1,54.2,0.740,-1.206,0.318,0.031,0.011
2025-03-07T00:23:37,60,114.825000,5.225000,153.5,57.2,0.899,0.004068,539,11470,1.191,568.0,35.9,34405,0.0030,0.0478,0.351,561.6,30.2,0.854,93.304,0.476,0.027,0.025,29769,0.0032,0.0466,0.404,0.0472,578.1,44.9,0.778,-1.122,0.309,0.026,0.015
2025-03-07T00:24:56,60,114.825000,5.225000,154.0,57.3,0.755,0.004640,538,11470,1.189,425.1,26.1,34700,0.0028,0.0377,0.364,411.8,24.2,0.864,93.340,0.347,0.022,0.014,29866,0.0033,0.0381,0.399,0.0379,445.7,29.0,0.811,-1.273,0.241,0.017,0.008
2025-03-07T00:26:15,60,114.825000,5.225000,154.6,57.4,0.741,0.005237,538,11470,1.187,412.1,22.2,34837,0.0028,0.0315,0.376,416.0,19.0,0.886,93.464,0.355,0.017,0.022,29723,0.0025,0.0334,0.393,0.0325,406.1,27.1,0.835,-1.163,0.219,0.016,0.008
2025-03-07T00:27:35,60,114.825000,5.225000,155.1,57.5,0.861,0.004284,539,11472,1.186,528.3,26.2,34882,0.0033,0.0379,0.370,506.7,25.3,0.864,93.251,0.429,0.023,0.016,29620,0.0026,0.0386,0.406,0.0383,561.7,27.7,0.796,-1.214,0.308,0.016,0.011
2025-03-07T00:28:54,60,114.825000,5.225000,155.7,57.7,0.829,0.004086,537,11471,1.184,496.5,32.3,34882,0.0037,0.0495,0.367,477.2,25.3,0.841,93.377,0.403,0.023,0.020,29701,0.0028,0.0474,0.405,0.0485,526.3,43.2,0.743,-1.320,0.278,0.025,0.012
