
Date time,Integration time [s],Target RA [deg],Target DEC [deg],Telescope Azimuth [deg],Telescope Elevation [deg],DIMM Seeing ["],Relative Flux RMS,Relative Flux RMS base time [s],Number of frames,Airmass,Cn2 [10**(-15)m**(1/3)],Cn2 Residual [10**(-15)m**(1/3)],Left Mean Flux [ADU],Left Mean Flux RMS,Left Scintillation Index,Left Strehl Number,Long. Cn2 [10**(-15)m**(1/3)],Long. Cn2 Residual [10**(-15)m**(1/3)],Longitudinal Correlation,Longitudinal Separation [pixel],Longitudinal Variance [pixel**2],Long. Variance Averaged [pixel**2],Longitudinal Variance RMS,Right Mean Flux [ADU],Right Mean Flux RMS,Right Scintillation Index,Right Strehl Number,Scintillation Index,Transverse Cn2 [10**(-15)m**(1/3)],Trans. Cn2 Residual [10**(-15)m**(1/3)],Transverse Correlation,Transverse Separation [pixel],Transverse Variance [pixel**2],Trans. Variance Average [pixel**2],Transverse Variance RMS [pixel]
2025-07-15T00:00:22,60,252.541667,-34.293333,62.4,62.7,0.454,0.003131,581,11456,1.485,182.1,9.8,9957,0.0032,0.0538,0.463,190.0,7.2,0.403,96.393,0.204,0.008,0.006,8162,0.0039,0.0542,0.406,0.0540,169.7,13.9,0.541,-0.861,0.112,0.010,0.002
2025-07-15T00:01:50,60,252.541667,-34.293333,62.3,63.0,0.430,0.002907,590,11458,1.482,166.0,7.8,10027,0.0035,0.0577,0.465,173.2,7.5,0.408,96.395,0.185,0.008,0.004,8256,0.0040,0.0595,0.419,0.0586,154.9,8.2,0.532,-0.860,0.106,0.006,0.002
2025-07-15T00:03:09,60,252.541667,-34.293333,62.1,63.2,0.453,0.002880,590,11469,1.480,181.4,7.0,10012,0.0034,0.0497,0.476,186.4,5.9,0.484,96.410,0.201,0.007,0.004,8205,0.0036,0.0502,0.420,0.0500,173.6,8.7,0.539,-0.891,0.119,0.006,0.003
2025-07-15T00:04:28,60,252.541667,-34.293333,62.0,63.5,0.428,0.003851,590,11469,1.478,164.8,6.8,10086,0.0031,0.0396,0.468,165.1,6.3,0.561,96.479,0.177,0.007,0.004,8273,0.0034,0.0405,0.427,0.0401,164.4,7.6,0.589,-0.867,0.113,0.005,0.003
2025-07-15T00:05:48,60,252.541667,-34.293333,61.8,63.8,0.459,0.004015,591,11469,1.476,185.2,9.2,10068,0.0030,0.0319,0.467,186.1,7.7,0.595,96.396,0.198,0.009,0.006,8268,0.0032,0.0316,0.433,0.0318,183.9,11.4,0.596,-0.837,0.124,0.008,0.003
2025-07-15T00:07:07,60,252.541667,-34.293333,61.7,64.0,0.529,0.004049,591,11458,1.475,234.6,11.3,10044,0.0028,0.0281,0.470,235.4,11.3,0.601,96.381,0.249,0.013,0.009,8199,0.0024,0.0272,0.422,0.0277,233.3,11.3,0.590,-0.874,0.159,0.008,0.007
2025-07-15T00:08:27,60,252.541667,-34.293333,61.5,64.3,0.616,0.004278,545,11468,1.473,302.4,8.4,10002,0.0027,0.0490,0.467,306.1,7.0,0.487,96.382,0.331,0.008,0.011,8187,0.0029,0.0490,0.434,0.0490,296.7,10.6,0.552,-0.847,0.205,0.008,0.008
2025-07-15T00:09:47,60,252.541667,-34.293333,61.4,64.6,0.532,0.003608,537,11468,1.471,237.3,10.7,10064,0.0025,0.0441,0.466,239.2,6.8,0.470,96.306,0.257,0.008,0.008,8305,0.0027,0.0451,0.435,0.0446,234.4,16.8,0.557,-0.949,0.156,0.012,0.005
2025-07-15T00:11:07,60,252.541667,-34.293333,61.2,64.8,0.462,0.004489,538,11462,1.469,187.1,11.5,10138,0.0025,0.0339,0.460,189.5,10.0,0.544,96.282,0.198,0.011,0.006,8289,0.0028,0.0348,0.429,0.0344,183.3,13.7,0.563,-0.927,0.121,0.010,0.003
2025-07-15T00:12:26,60,252.541667,-34.293333,61.0,65.1,0.538,0.004315,538,11464,1.467,241.4,10.1,10142,0.0025,0.0317,0.464,248.2,10.6,0.619,96.307,0.262,0.012,0.008,8258,0.0028,0.0310,0.431,0.0314,231.0,9.2,0.560,-0.858,0.158,0.007,0.005
2025-07-15T00:13:45,60,252.541667,-34.293333,60.8,65.4,0.479,0.004543,537,11433,1.465,199.1,11.9,10078,0.0026,0.0290,0.458,202.3,11.5,0.580,96.132,0.210,0.013,0.006,8174,0.0029,0.0294,0.409,0.0292,194.1,12.5,0.562,-0.794,0.129,0.009,0.004
2025-07-15T00:15:05,60,252.541667,-34.293333,60.6,65.6,0.505,0.004533,538,11429,1.464,217.5,10.8,10106,0.0027,0.0401,0.448,221.4,8.9,0.486,96.138,0.234,0.010,0.008,8185,0.0027,0.0409,0.418,0.0405,211.4,13.8,0.547,-0.864,0.141,0.010,0.004
2025-07-15T00:16:53,60,252.541667,-34.293333,60.4,66.0,0.550,0.004272,566,11456,1.461,250.7,10.5,10103,0.0024,0.0375,0.465,256.6,10.1,0.578,95.986,0.271,0.011,0.009,8227,0.0027,0.0386,0.431,0.0381,241.7,11.0,0.563,-0.741,0.164,0.008,0.004
2025-07-15T00:18:13,60,252.541667,-34.293333,60.2,66.2,0.594,0.003316,566,11444,1.460,284.6,15.3,10059,0.0027,0.0319,0.464,283.7,12.7,0.645,95.975,0.298,0.014,0.010,8221,0.0026,0.0332,0.426,0.0325,285.9,19.2,0.586,-0.638,0.189,0.014,0.007
2025-07-15T00:19:32,60,252.541667,-34.293333,60.0,66.5,0.529,0.003300,565,11453,1.458,234.6,12.9,10122,0.0029,0.0315,0.481,228.8,9.5,0.612,96.068,0.241,0.010,0.005,8247,0.0029,0.0317,0.445,0.0316,243.5,18.2,0.584,-0.875,0.160,0.013,0.004
2025-07-15T00:20:51,60,252.541667,-34.293333,59.8,66.8,0.520,0.002807,565,11458,1.456,227.9,10.9,10140,0.0030,0.0307,0.501,227.3,9.8,0.660,96.047,0.238,0.011,0.007,8236,0.0031,0.0299,0.446,0.0303,228.9,12.5,0.573,-0.702,0.153,0.009,0.005
2025-07-15T00:22:21,60,252.541667,-34.293333,59.5,67.1,0.477,0.002559,576,11447,1.454,197.3,11.7,10115,0.0023,0.0295,0.469,201.2,13.2,0.609,95.854,0.206,0.014,0.007,8259,0.0030,0.0308,0.411,0.0302,191.1,9.5,0.573,-0.761,0.128,0.007,0.004
2025-07-15T00:23:41,60,252.541667,-34.293333,59.3,67.3,0.572,0.002173,576,11420,1.453,267.6,15.8,10068,0.0029,0.0381,0.449,264.1,10.5,0.539,95.742,0.277,0.011,0.009,8315,0.0030,0.0391,0.400,0.0386,273.1,24.0,0.552,-0.848,0.176,0.017,0.007
2025-07-15T00:25:01,60,252.541667,-34.293333,59.1,67.6,0.549,0.001843,548,11469,1.451,250.0,12.4,10075,0.0028,0.0372,0.467,250.4,10.9,0.596,95.850,0.262,0.012,0.009,8283,0.0027,0.0361,0.422,0.0367,249.5,14.6,0.560,-0.840,0.166,0.010,0.005
2025-07-15T00:26:21,60,252.541667,-34.293333,58.8,67.8,0.495,0.002061,548,11437,1.450,210.5,10.1,10033,0.0022,0.0285,0.460,213.8,10.2,0.611,95.841,0.222,0.011,0.006,8269,0.0029,0.0285,0.415,0.0285,205.4,10.0,0.554,-0.707,0.138,0.007,0.004
2025-07-15T00:27:40,60,252.541667,-34.293333,58.6,68.1,0.558,0.001604,548,11469,1.448,256.9,12.0,10056,0.0030,0.0343,0.476,259.6,12.7,0.623,95.775,0.269,0.014,0.012,8261,0.0031,0.0334,0.425,0.0339,252.6,10.8,0.568,-0.744,0.170,0.008,0.007
2025-07-15T00:28:59,60,252.541667,-34.293333,58.3,68.4,0.910,0.002246,548,11468,1.447,579.8,16.6,10064,0.0030,0.0506,0.490,584.3,18.5,0.696,95.841,0.616,0.020,0.045,8204,0.0036,0.0517,0.438,0.0512,572.9,13.7,0.563,-0.694,0.393,0.010,0.026
2025-07-15T00:30:28,60,252.541667,-34.293333,58.0,68.6,0.627,0.002724,547,11447,1.445,311.8,19.1,10010,0.0033,0.0377,0.459,310.0,22.4,0.594,95.715,0.313,0.024,0.022,8233,0.0033,0.0373,0.421,0.0375,314.6,14.1,0.537,-0.699,0.211,0.010,0.016
2025-07-15T00:32:05,60,252.541667,-34.293333,57.7,69.0,0.578,0.002536,564,11465,1.443,271.9,12.1,10080,0.0033,0.0371,0.492,272.0,13.7,0.659,95.829,0.280,0.015,0.011,8269,0.0031,0.0365,0.440,0.0368,271.9,9.5,0.555,-0.827,0.184,0.007,0.007
2025-07-15T00:33:27,60,252.541667,-34.293333,57.4,69.2,0.602,0.002084,566,11467,1.442,291.6,13.8,10070,0.0033,0.0309,0.490,290.6,14.4,0.659,95.894,0.300,0.016,0.021,8247,0.0038,0.0324,0.436,0.0317,293.3,12.9,0.557,-0.828,0.196,0.009,0.014
2025-07-15T00:34:48,60,252.541667,-34.293333,57.1,69.5,0.614,0.001770,567,11358,1.440,300.9,11.0,10085,0.0033,0.0302,0.465,297.1,11.4,0.647,95.795,0.310,0.012,0.017,8225,0.0033,0.0316,0.424,0.0309,306.8,10.4,0.564,-0.694,0.207,0.007,0.012
2025-07-15T00:36:33,60,252.541667,-34.293333,56.7,69.8,0.487,0.001854,593,11460,1.439,204.5,14.7,10067,0.0030,0.0269,0.493,204.6,17.3,0.661,95.740,0.203,0.019,0.008,8263,0.0028,0.0263,0.435,0.0266,204.4,10.6,0.561,-0.731,0.135,0.007,0.006
2025-07-15T00:37:52,60,252.541667,-34.293333,56.4,70.1,0.750,0.002085,593,11463,1.437,419.7,16.9,10117,0.0022,0.0206,0.512,409.0,17.7,0.773,95.862,0.423,0.019,0.023,8238,0.0022,0.0205,0.455,0.0206,436.1,15.7,0.595,-0.830,0.294,0.011,0.016
2025-07-15T00:39:21,60,252.541667,-34.293333,56.0,70.3,0.518,0.002315,593,11466,1.436,226.9,10.5,10092,0.0029,0.0339,0.509,224.0,12.2,0.676,95.737,0.229,0.013,0.008,8298,0.0027,0.0337,0.454,0.0338,231.4,8.0,0.584,-0.647,0.156,0.006,0.005
2025-07-15T00:40:41,60,252.541667,-34.293333,55.7,70.6,0.749,0.001975,576,11470,1.435,419.2,19.6,10043,0.0033,0.0415,0.523,423.5,25.8,0.759,95.693,0.429,0.028,0.026,8224,0.0032,0.0421,0.467,0.0418,412.6,10.1,0.584,-0.629,0.281,0.007,0.013
2025-07-15T00:42:00,60,252.541667,-34.293333,55.3,70.8,0.485,0.002090,573,11456,1.433,203.2,14.9,10147,0.0029,0.0443,0.484,207.2,15.2,0.590,95.623,0.207,0.016,0.008,8224,0.0031,0.0446,0.423,0.0445,197.0,14.5,0.546,-0.719,0.127,0.010,0.005
