
Date time,Integration time [s],Target RA [deg],Target DEC [deg],Telescope Azimuth [deg],Telescope Elevation [deg],DIMM Seeing ["],Relative Flux RMS,Relative Flux RMS base time [s],Number of frames,Airmass,Cn2 [10**(-15)m**(1/3)],Cn2 Residual [10**(-15)m**(1/3)],Left Mean Flux [ADU],Left Mean Flux RMS,Left Scintillation Index,Left Strehl Number,Long. Cn2 [10**(-15)m**(1/3)],Long. Cn2 Residual [10**(-15)m**(1/3)],Longitudinal Correlation,Longitudinal Separation [pixel],Longitudinal Variance [pixel**2],Long. Variance Averaged [pixel**2],Longitudinal Variance RMS,Right Mean Flux [ADU],Right Mean Flux RMS,Right Scintillation Index,Right Strehl Number,Scintillation Index,Transverse Cn2 [10**(-15)m**(1/3)],Trans. Cn2 Residual [10**(-15)m**(1/3)],Transverse Correlation,Transverse Separation [pixel],Transverse Variance [pixel**2],Trans. Variance Average [pixel**2],Transverse Variance RMS [pixel]
2025-11-15T00:00:41,60,24.429167,-57.236667,30.5,46.6,0.641,0.003206,536,11470,1.376,323.6,13.0,36009,0.0046,0.0645,0.378,305.5,10.4,0.691,99.542,0.306,0.011,0.008,30309,0.0046,0.0685,0.427,0.0665,351.8,16.9,0.617,-0.691,0.224,0.011,0.006
2025-11-15T00:02:00,60,24.429167,-57.236667,30.3,46.8,0.645,0.003319,536,11469,1.373,326.6,13.7,35742,0.0042,0.0663,0.388,314.9,13.0,0.698,99.522,0.312,0.013,0.009,30272,0.0038,0.0692,0.440,0.0678,344.7,14.9,0.647,-0.599,0.220,0.010,0.005
2025-11-15T00:03:30,60,24.429167,-57.236667,30.2,46.9,0.595,0.003149,546,11472,1.369,285.4,15.2,35882,0.0045,0.0611,0.385,276.0,13.4,0.717,99.580,0.271,0.014,0.009,30325,0.0045,0.0659,0.429,0.0635,299.9,17.9,0.660,-0.691,0.188,0.012,0.005
2025-11-15T00:04:50,60,24.429167,-57.236667,30.0,47.1,0.578,0.003173,547,11469,1.366,272.3,18.9,36003,0.0053,0.0532,0.390,261.7,18.3,0.716,99.511,0.250,0.019,0.009,30265,0.0040,0.0595,0.435,0.0564,288.7,19.8,0.662,-0.686,0.178,0.013,0.006
2025-11-15T00:06:09,60,24.429167,-57.236667,29.9,47.2,0.650,0.002908,547,11470,1.362,331.3,15.5,35948,0.0040,0.0632,0.381,324.3,14.2,0.718,99.571,0.318,0.015,0.009,30096,0.0037,0.0672,0.437,0.0652,342.0,17.4,0.654,-0.715,0.215,0.011,0.006
2025-11-15T00:07:28,60,24.429167,-57.236667,29.8,47.4,0.623,0.003043,546,11470,1.359,308.3,18.5,36082,0.0038,0.0650,0.379,292.5,17.5,0.690,99.607,0.281,0.018,0.007,30340,0.0041,0.0703,0.426,0.0677,332.7,20.0,0.635,-0.706,0.206,0.013,0.005
2025-11-15T00:08:47,60,24.429167,-57.236667,29.6,47.5,0.621,0.002109,546,11471,1.356,306.7,24.6,36081,0.0051,0.0687,0.386,291.7,21.3,0.704,99.623,0.276,0.022,0.007,30245,0.0048,0.0760,0.432,0.0724,329.9,29.7,0.661,-0.673,0.198,0.020,0.005
2025-11-15T00:10:07,60,24.429167,-57.236667,29.5,47.7,0.580,0.002119,547,11471,1.353,273.7,18.6,36245,0.0043,0.0655,0.378,265.1,15.1,0.680,99.522,0.255,0.015,0.007,30080,0.0047,0.0652,0.441,0.0653,287.1,24.1,0.645,-0.667,0.173,0.016,0.004
2025-11-15T00:11:26,60,24.429167,-57.236667,29.3,47.8,0.586,0.002646,536,11471,1.349,278.8,11.3,36340,0.0045,0.0663,0.379,270.6,9.7,0.674,99.527,0.265,0.010,0.005,30320,0.0044,0.0714,0.429,0.0689,291.6,13.7,0.635,-0.568,0.182,0.009,0.004
2025-11-15T00:12:46,60,24.429167,-57.236667,29.2,48.0,0.553,0.004121,536,11466,1.346,253.2,15.4,35775,0.0053,0.0716,0.390,245.8,12.7,0.647,99.673,0.236,0.013,0.004,29963,0.0050,0.0780,0.432,0.0748,264.6,19.7,0.636,-0.820,0.160,0.013,0.003
