
Date time,Integration time [s],Target RA [deg],Target DEC [deg],Telescope Azimuth [deg],Telescope Elevation [deg],DIMM Seeing ["],Relative Flux RMS,Relative Flux RMS base time [s],Number of frames,Airmass,Cn2 [10**(-15)m**(1/3)],Cn2 Residual [10**(-15)m**(1/3)],Left Mean Flux [ADU],Left Mean Flux RMS,Left Scintillation Index,Left Strehl Number,Long. Cn2 [10**(-15)m**(1/3)],Long. Cn2 Residual [10**(-15)m**(1/3)],Longitudinal Correlation,Longitudinal Separation [pixel],Longitudinal Variance [pixel**2],Long. Variance Averaged [pixel**2],Longitudinal Variance RMS,Right Mean Flux [ADU],Right Mean Flux RMS,Right Scintillation Index,Right Strehl Number,Scintillation Index,Transverse Cn2 [10**(-15)m**(1/3)],Trans. Cn2 Residual [10**(-15)m**(1/3)],Transverse Correlation,Transverse Separation [pixel],Transverse Variance [pixel**2],Trans. Variance Average [pixel**2],Transverse Variance RMS [pixel]
2025-11-19T00:01:18,60,24.429167,-57.236667,28.6,48.5,0.811,0.016152,555,11471,1.336,478.7,37.1,35792,0.0029,0.0267,0.406,456.5,38.4,0.857,99.165,0.420,0.039,0.014,29489,0.0035,0.0295,0.451,0.0281,513.1,35.0,0.775,-0.916,0.310,0.023,0.011
2025-11-19T00:02:46,60,24.429167,-57.236667,28.5,48.6,0.606,0.016443,564,11470,1.333,294.1,18.3,36221,0.0033,0.0260,0.401,279.3,15.9,0.843,99.053,0.264,0.016,0.008,30180,0.0027,0.0300,0.447,0.0280,317.1,22.2,0.788,-0.743,0.191,0.014,0.005
2025-11-19T00:04:05,60,24.429167,-57.236667,28.3,48.8,0.569,0.018019,564,11471,1.330,265.2,20.8,36349,0.0031,0.0310,0.395,263.7,21.2,0.841,99.136,0.243,0.021,0.008,30272,0.0030,0.0321,0.447,0.0315,267.5,20.2,0.779,-0.748,0.160,0.013,0.004
2025-11-19T00:05:26,60,24.429167,-57.236667,28.1,48.9,0.631,0.018737,566,11469,1.327,314.8,21.5,36122,0.0027,0.0280,0.402,319.9,21.1,0.843,99.244,0.298,0.021,0.010,30185,0.0031,0.0300,0.453,0.0290,307.0,22.2,0.754,-0.874,0.184,0.014,0.006
2025-11-19T00:06:48,60,24.429167,-57.236667,28.0,49.1,0.756,0.019215,569,11469,1.324,425.4,26.1,36018,0.0029,0.0288,0.409,425.6,26.8,0.831,99.378,0.397,0.027,0.015,30325,0.0035,0.0317,0.449,0.0303,425.0,25.1,0.721,-0.902,0.257,0.016,0.007
2025-11-19T00:08:07,60,24.429167,-57.236667,27.8,49.2,0.747,0.010516,549,11469,1.322,417.2,27.4,36343,0.0027,0.0271,0.397,409.2,25.7,0.837,99.413,0.381,0.026,0.012,30160,0.0030,0.0295,0.441,0.0283,429.6,30.0,0.730,-0.724,0.257,0.019,0.007
2025-11-19T00:09:46,60,24.429167,-57.236667,27.6,49.4,0.681,0.006191,568,11470,1.318,358.0,23.8,35963,0.0033,0.0309,0.405,347.9,24.3,0.837,99.406,0.321,0.024,0.009,30355,0.0031,0.0345,0.444,0.0327,373.7,23.2,0.740,-0.772,0.224,0.015,0.006
2025-11-19T00:11:06,60,24.429167,-57.236667,27.4,49.5,0.769,0.001602,560,11470,1.315,437.9,23.3,36085,0.0027,0.0311,0.402,424.5,25.8,0.833,99.434,0.395,0.026,0.010,30277,0.0032,0.0359,0.444,0.0335,458.7,19.4,0.733,-0.701,0.281,0.012,0.007
2025-11-19T00:12:25,60,24.429167,-57.236667,27.2,49.6,0.730,0.001907,560,11470,1.313,401.3,31.8,35939,0.0035,0.0392,0.400,392.6,31.3,0.817,99.396,0.357,0.031,0.011,30275,0.0035,0.0433,0.441,0.0412,414.7,32.6,0.729,-0.826,0.244,0.021,0.006
2025-11-19T00:13:53,60,24.429167,-57.236667,27.0,49.8,0.750,0.001344,567,11470,1.310,420.1,24.0,35955,0.0034,0.0418,0.407,403.1,23.3,0.821,99.471,0.374,0.023,0.012,30273,0.0034,0.0455,0.441,0.0436,446.4,25.1,0.719,-0.707,0.268,0.016,0.009
2025-11-19T00:15:12,60,24.429167,-57.236667,26.9,49.9,0.665,0.002370,564,11470,1.307,343.4,17.2,36360,0.0028,0.0318,0.398,337.9,17.9,0.821,99.471,0.315,0.018,0.010,30342,0.0027,0.0366,0.441,0.0342,352.0,16.0,0.726,-0.677,0.213,0.010,0.006
2025-11-19T00:16:33,60,24.429167,-57.236667,26.7,50.1,0.699,0.002387,566,11469,1.304,373.7,20.3,36291,0.0031,0.0375,0.402,359.5,17.0,0.810,99.526,0.336,0.017,0.009,30154,0.0024,0.0428,0.440,0.0402,395.8,25.4,0.726,-0.755,0.235,0.016,0.006
2025-11-19T00:17:52,60,24.429167,-57.236667,26.5,50.2,0.744,0.003116,546,11470,1.302,414.4,21.9,36298,0.0030,0.0336,0.405,403.6,19.6,0.825,99.500,0.376,0.019,0.012,30485,0.0030,0.0393,0.437,0.0364,431.2,25.5,0.742,-0.656,0.257,0.016,0.008
2025-11-19T00:19:12,60,24.429167,-57.236667,26.3,50.3,0.724,0.003183,546,11470,1.299,396.2,22.2,36144,0.0027,0.0298,0.410,389.0,21.3,0.824,99.512,0.360,0.021,0.011,30492,0.0027,0.0325,0.441,0.0312,407.3,23.7,0.721,-0.781,0.242,0.015,0.007
2025-11-19T00:20:31,60,24.429167,-57.236667,26.1,50.5,0.720,0.003135,546,11468,1.297,392.2,22.2,36141,0.0028,0.0284,0.411,393.5,20.5,0.828,99.433,0.364,0.020,0.013,30450,0.0030,0.0320,0.442,0.0302,390.1,24.9,0.706,-0.869,0.230,0.016,0.007
2025-11-19T00:21:51,60,24.429167,-57.236667,25.9,50.6,0.697,0.002604,538,11471,1.294,371.6,20.0,36190,0.0033,0.0379,0.401,371.5,19.9,0.804,99.306,0.342,0.019,0.011,30268,0.0030,0.0412,0.431,0.0396,371.8,20.1,0.698,-0.720,0.221,0.013,0.006
2025-11-19T00:23:11,60,24.429167,-57.236667,25.7,50.7,0.734,0.001872,539,11469,1.292,405.6,14.4,36534,0.0028,0.0303,0.388,397.5,9.3,0.817,98.727,0.377,0.009,0.021,30221,0.0030,0.0338,0.424,0.0320,418.1,22.2,0.703,-0.810,0.249,0.014,0.014
2025-11-19T00:24:30,60,24.429167,-57.236667,25.5,50.9,0.769,0.001999,537,11472,1.289,438.0,17.7,36314,0.0030,0.0299,0.399,422.2,13.8,0.803,98.643,0.396,0.013,0.018,30140,0.0029,0.0324,0.431,0.0311,462.6,23.9,0.702,-0.850,0.275,0.015,0.012
2025-11-19T00:26:08,60,24.429167,-57.236667,25.3,51.0,0.669,0.002551,556,11470,1.287,347.2,18.5,36268,0.0033,0.0385,0.405,342.5,14.9,0.772,99.109,0.317,0.014,0.011,30002,0.0026,0.0453,0.435,0.0419,354.5,24.0,0.707,-0.918,0.207,0.015,0.007
2025-11-19T00:27:37,60,24.429167,-57.236667,25.1,51.2,0.681,0.003295,565,11471,1.284,357.6,17.6,36440,0.0031,0.0410,0.392,354.9,12.8,0.793,98.756,0.331,0.012,0.010,30567,0.0032,0.0442,0.437,0.0426,361.7,25.0,0.717,-0.982,0.210,0.016,0.007
2025-11-19T00:28:57,60,24.429167,-57.236667,24.9,51.3,0.696,0.004023,566,11470,1.282,371.1,17.4,36549,0.0032,0.0381,0.376,368.9,14.8,0.797,98.601,0.341,0.014,0.011,30485,0.0030,0.0396,0.436,0.0389,374.6,21.4,0.718,-1.156,0.220,0.013,0.009
2025-11-19T00:30:18,60,24.429167,-57.236667,24.6,51.4,0.669,0.004431,567,11471,1.279,347.6,19.5,36569,0.0032,0.0439,0.377,349.4,15.4,0.790,98.537,0.322,0.015,0.010,30457,0.0033,0.0471,0.426,0.0455,344.9,26.0,0.731,-1.163,0.198,0.016,0.005
2025-11-19T00:31:37,60,24.429167,-57.236667,24.4,51.6,0.811,0.004373,566,11470,1.277,479.0,20.4,36355,0.0034,0.0411,0.392,487.2,20.3,0.803,98.354,0.449,0.020,0.025,30157,0.0027,0.0455,0.436,0.0433,466.3,20.5,0.735,-1.047,0.277,0.013,0.013
2025-11-19T00:32:57,60,24.429167,-57.236667,24.2,51.7,0.754,0.004433,567,11471,1.275,424.2,20.6,36324,0.0028,0.0366,0.398,418.9,16.2,0.824,98.527,0.386,0.016,0.012,30562,0.0034,0.0408,0.445,0.0387,432.5,27.3,0.778,-1.104,0.251,0.017,0.009
2025-11-19T00:34:17,60,24.429167,-57.236667,24.0,51.8,0.735,0.004293,549,11470,1.273,406.3,21.1,36152,0.0035,0.0375,0.400,401.7,18.2,0.822,98.535,0.367,0.017,0.011,30391,0.0030,0.0417,0.445,0.0396,413.3,25.6,0.782,-1.165,0.240,0.016,0.007
2025-11-19T00:35:36,60,24.429167,-57.236667,23.8,51.9,0.669,0.003089,539,11470,1.271,347.5,20.4,36385,0.0029,0.0365,0.395,336.4,16.4,0.800,98.332,0.306,0.016,0.009,30429,0.0025,0.0399,0.438,0.0382,364.9,26.6,0.766,-1.089,0.209,0.016,0.006
2025-11-19T00:36:55,60,24.429167,-57.236667,23.6,52.0,0.830,0.003818,538,11470,1.268,497.7,21.4,36056,0.0033,0.0445,0.401,501.5,19.3,0.802,98.448,0.460,0.018,0.018,30280,0.0032,0.0483,0.439,0.0464,491.8,24.7,0.747,-1.109,0.288,0.015,0.013
2025-11-19T00:38:49,60,24.429167,-57.236667,23.3,52.2,1.067,0.004083,571,11469,1.265,755.9,25.5,36028,0.0031,0.0456,0.404,755.7,22.1,0.817,98.625,0.699,0.021,0.037,30217,0.0034,0.0492,0.450,0.0474,756.3,30.8,0.736,-1.213,0.446,0.019,0.025
2025-11-19T00:40:09,60,24.429167,-57.236667,23.1,52.3,0.846,0.003758,572,11471,1.263,514.0,20.5,36030,0.0032,0.0422,0.394,506.8,18.5,0.793,98.284,0.464,0.018,0.018,30167,0.0038,0.0451,0.435,0.0437,525.1,23.7,0.710,-1.009,0.308,0.015,0.012
2025-11-19T00:41:30,60,24.429167,-57.236667,22.8,52.5,0.855,0.003833,573,11471,1.261,523.1,20.0,36155,0.0032,0.0489,0.403,532.2,21.6,0.792,98.267,0.485,0.020,0.023,30516,0.0037,0.0522,0.434,0.0506,509.0,17.5,0.719,-1.145,0.301,0.011,0.015
2025-11-19T00:42:49,60,24.429167,-57.236667,22.6,52.6,0.766,0.003247,572,11470,1.259,435.6,16.9,36185,0.0033,0.0416,0.392,425.0,14.6,0.771,98.337,0.389,0.014,0.017,30437,0.0036,0.0443,0.435,0.0430,452.0,20.5,0.694,-1.153,0.264,0.013,0.013
2025-11-19T00:44:08,60,24.429167,-57.236667,22.4,52.7,0.757,0.003381,572,11472,1.258,426.7,16.7,35988,0.0030,0.0395,0.402,418.2,13.1,0.802,98.148,0.383,0.012,0.018,30314,0.0036,0.0457,0.425,0.0426,439.8,22.2,0.718,-0.938,0.255,0.014,0.012
2025-11-19T00:45:27,60,24.429167,-57.236667,22.2,52.8,0.759,0.003623,572,11471,1.256,428.8,14.9,36368,0.0035,0.0398,0.395,423.9,13.9,0.797,97.962,0.387,0.013,0.015,30522,0.0036,0.0463,0.421,0.0431,436.5,16.5,0.716,-1.035,0.256,0.010,0.011
2025-11-19T00:46:47,60,24.429167,-57.236667,21.9,52.9,0.834,0.004083,538,11471,1.254,501.9,19.6,36622,0.0036,0.0380,0.397,501.9,20.2,0.799,98.086,0.454,0.019,0.015,30256,0.0036,0.0424,0.422,0.0402,501.9,18.8,0.703,-0.904,0.294,0.011,0.009
2025-11-19T00:48:07,60,24.429167,-57.236667,21.7,53.0,0.917,0.004502,538,11471,1.252,587.0,26.4,36608,0.0031,0.0437,0.386,593.8,27.9,0.788,98.093,0.533,0.026,0.023,30493,0.0032,0.0504,0.404,0.0471,576.3,24.0,0.679,-0.788,0.336,0.015,0.012
2025-11-19T00:49:44,60,24.429167,-57.236667,21.4,53.2,0.796,0.003651,554,11470,1.250,463.9,16.4,36665,0.0036,0.0475,0.376,464.0,18.5,0.785,98.014,0.419,0.017,0.013,30284,0.0033,0.0529,0.406,0.0502,463.8,13.2,0.669,-1.020,0.274,0.008,0.009
2025-11-19T00:51:14,60,24.429167,-57.236667,21.1,53.3,0.810,0.004232,565,11464,1.248,477.8,16.6,36600,0.0036,0.0479,0.361,480.0,13.3,0.781,97.754,0.438,0.013,0.020,30623,0.0037,0.0523,0.371,0.0501,474.3,21.6,0.663,-0.964,0.274,0.013,0.012
